"id","time","kemendagri_kabupaten_kode","kemendagri_kabupaten_nama","street","type","avg_location","total_records","date"
5953008,2022-07-11 20:00:00.000,"32.79",KOTA BANJAR,,ACCIDENT,"[108.646393, -7.357648]",2,2022-07-11
5953009,2022-07-11 21:00:00.000,"32.79",KOTA BANJAR,,ACCIDENT,"[108.646393, -7.357647999999996]",59,2022-07-11
5953010,2022-07-11 21:00:00.000,"32.79",KOTA BANJAR,,WEATHERHAZARD,"[108.665489, -7.358069999999999]",31,2022-07-11
5953011,2022-07-11 22:00:00.000,"32.79",KOTA BANJAR,,ACCIDENT,"[108.646393, -7.357647999999996]",60,2022-07-11
5953012,2022-07-11 23:00:00.000,"32.79",KOTA BANJAR,,ACCIDENT,"[108.646393, -7.357648]",1,2022-07-11
5962583,2022-07-13 22:00:00.000,"32.79",KOTA BANJAR,Jalan Pegadaian,JAM,"[108.54361800000005, -7.369941000000003]",30,2022-07-13
5972967,2022-07-15 08:00:00.000,"32.79",KOTA BANJAR,,JAM,"[108.55968699999995, -7.378145999999995]",30,2022-07-15
5980056,2022-07-16 11:00:00.000,"32.79",KOTA BANJAR,N13 Jalan Raya Batulawang,JAM,"[108.53975599999998, -7.3858209999999955]",23,2022-07-16
5980057,2022-07-16 12:00:00.000,"32.79",KOTA BANJAR,N13 Jalan Raya Batulawang,JAM,"[108.539756, -7.385821]",8,2022-07-16
5986047,2022-07-17 15:00:00.000,"32.79",KOTA BANJAR,Dr Husen Kartasasmita,JAM,"[108.53550399999996, -7.369538000000004]",31,2022-07-17
5986048,2022-07-17 15:00:00.000,"32.79",KOTA BANJAR,N13 Jalan Raya Ciamis-Banjar,JAM,"[108.48566704347827, -7.348573478260867]",23,2022-07-17
5986049,2022-07-17 16:00:00.000,"32.79",KOTA BANJAR,N13 Jalan Raya Batulawang,JAM,"[108.54314299999997, -7.406763000000005]",31,2022-07-17
5986050,2022-07-17 16:00:00.000,"32.79",KOTA BANJAR,N13 Jalan Raya Ciamis-Banjar,JAM,"[108.48755840000001, -7.34743767272727]",55,2022-07-17
5986051,2022-07-17 17:00:00.000,"32.79",KOTA BANJAR,Ciung Wanara,JAM,"[108.48949200000006, -7.3470859999999965]",31,2022-07-17
5991236,2022-07-18 16:00:00.000,"32.79",KOTA BANJAR,,JAM,"[108.506172, -7.365223]",7,2022-07-18
5991237,2022-07-18 17:00:00.000,"32.79",KOTA BANJAR,,JAM,"[108.506172, -7.365223000000003]",25,2022-07-18
6028593,2022-07-26 15:00:00.000,"32.79",KOTA BANJAR,,ACCIDENT,"[108.53099800000005, -7.373308000000002]",32,2022-07-26
6047878,2022-07-30 09:00:00.000,"32.79",KOTA BANJAR,Jalan Banjar-Langensari,JAM,"[108.56892100000003, -7.369697000000001]",31,2022-07-30
6052590,2022-07-31 14:00:00.000,"32.79",KOTA BANJAR,N13 Jalan Raya Ciamis-Banjar,JAM,"[108.479309, -7.349906999999999]",3,2022-07-31
6052591,2022-07-31 15:00:00.000,"32.79",KOTA BANJAR,N13 Jalan Raya Batulawang,JAM,"[108.54685671428571, -7.412650603174597]",63,2022-07-31
6052592,2022-07-31 15:00:00.000,"32.79",KOTA BANJAR,N13 Jalan Raya Ciamis-Banjar,JAM,"[108.47930899999997, -7.349907000000001]",28,2022-07-31
6052593,2022-07-31 16:00:00.000,"32.79",KOTA BANJAR,Dr Husen Kartasasmita,JAM,"[108.511256, -7.378225999999999]",6,2022-07-31
6052594,2022-07-31 16:00:00.000,"32.79",KOTA BANJAR,N13 Jalan Raya Batulawang,JAM,"[108.5469626666667, -7.413132733333334]",45,2022-07-31
6062082,2022-08-02 17:00:00.000,"32.79",KOTA BANJAR,N13 Brigjen M Isa,ACCIDENT,"[108.54295100000006, -7.365282999999994]",54,2022-08-02
6062083,2022-08-02 18:00:00.000,"32.79",KOTA BANJAR,N13 Brigjen M Isa,ACCIDENT,"[108.54295100000009, -7.365282999999992]",60,2022-08-02
6062084,2022-08-02 19:00:00.000,"32.79",KOTA BANJAR,N13 Brigjen M Isa,ACCIDENT,"[108.542951, -7.365282999999999]",6,2022-08-02
6066756,2022-08-03 18:00:00.000,"32.79",KOTA BANJAR,N13 Brigjen M Isa,JAM,"[108.54172100000001, -7.359856]",6,2022-08-03
6066757,2022-08-03 18:00:00.000,"32.79",KOTA BANJAR,N13 Jalan Raya Ciamis-Banjar,JAM,"[108.50251, -7.34774]",5,2022-08-03
6071339,2022-08-04 15:00:00.000,"32.79",KOTA BANJAR,N13 Jalan Raya Batulawang,JAM,"[108.53830199999996, -7.397557000000004]",30,2022-08-04
6085706,2022-08-07 09:00:00.000,"32.79",KOTA BANJAR,,JAM,"[108.59913300000002, -7.3950869999999975]",28,2022-08-07
6085707,2022-08-07 10:00:00.000,"32.79",KOTA BANJAR,,JAM,"[108.599133, -7.395087]",4,2022-08-07
6085708,2022-08-07 20:00:00.000,"32.79",KOTA BANJAR,N15 Siliwangi,JAM,"[108.54599699999999, -7.3687759999999995]",6,2022-08-07
6103579,2022-08-11 20:00:00.000,"32.79",KOTA BANJAR,,JAM,"[108.61563100000001, -7.375564999999996]",29,2022-08-11
6135113,2022-08-18 18:00:00.000,"32.79",KOTA BANJAR,N13 Jalan Raya Ciamis-Banjar,JAM,"[108.525894, -7.350960999999999]",6,2022-08-18
