"id","time","kemendagri_kabupaten_kode","kemendagri_kabupaten_nama","street","type","avg_location","total_records","date"
5930177,2022-07-06 00:00:00.000,"32.71",KOTA BOGOR,KH Soleh Iskandar (Jalur Lambat),ROAD_CLOSED,"[106.80051600000002, -6.561997000000004]",61,2022-07-06
5930178,2022-07-06 00:00:00.000,"32.71",KOTA BOGOR,,WEATHERHAZARD,"[106.80159300000008, -6.555780000000009]",61,2022-07-06
5930179,2022-07-06 01:00:00.000,"32.71",KOTA BOGOR,KH Soleh Iskandar (Jalur Lambat),ROAD_CLOSED,"[106.80051600000002, -6.561997000000004]",60,2022-07-06
5930180,2022-07-06 01:00:00.000,"32.71",KOTA BOGOR,,WEATHERHAZARD,"[106.80159300000008, -6.555780000000009]",60,2022-07-06
5930181,2022-07-06 02:00:00.000,"32.71",KOTA BOGOR,KH Soleh Iskandar (Jalur Lambat),ROAD_CLOSED,"[106.80051600000002, -6.561997000000004]",60,2022-07-06
5930182,2022-07-06 02:00:00.000,"32.71",KOTA BOGOR,,WEATHERHAZARD,"[106.80159300000008, -6.555780000000009]",60,2022-07-06
5930183,2022-07-06 03:00:00.000,"32.71",KOTA BOGOR,KH Soleh Iskandar (Jalur Lambat),ROAD_CLOSED,"[106.80051600000002, -6.561997000000004]",60,2022-07-06
5930184,2022-07-06 03:00:00.000,"32.71",KOTA BOGOR,,WEATHERHAZARD,"[106.80159300000008, -6.555780000000009]",60,2022-07-06
5930187,2022-07-06 04:00:00.000,"32.71",KOTA BOGOR,,WEATHERHAZARD,"[106.80159300000008, -6.555780000000009]",60,2022-07-06
5930186,2022-07-06 04:00:00.000,"32.71",KOTA BOGOR,Tol Jagorawi,WEATHERHAZARD,"[106.83445399999998, -6.590205999999997]",26,2022-07-06
5930185,2022-07-06 04:00:00.000,"32.71",KOTA BOGOR,KH Soleh Iskandar (Jalur Lambat),ROAD_CLOSED,"[106.80051600000002, -6.561997000000004]",60,2022-07-06
5930188,2022-07-06 05:00:00.000,"32.71",KOTA BOGOR,KH Soleh Iskandar (Jalur Lambat),ROAD_CLOSED,"[106.80051600000002, -6.561997000000004]",60,2022-07-06
5930189,2022-07-06 05:00:00.000,"32.71",KOTA BOGOR,Tol Jagorawi,WEATHERHAZARD,"[106.8344539999999, -6.5902060000000064]",60,2022-07-06
5930190,2022-07-06 05:00:00.000,"32.71",KOTA BOGOR,,WEATHERHAZARD,"[106.80159300000008, -6.555780000000009]",60,2022-07-06
5930192,2022-07-06 06:00:00.000,"32.71",KOTA BOGOR,Tol Jagorawi,JAM,"[106.83160399999998, -6.601088]",6,2022-07-06
5930191,2022-07-06 06:00:00.000,"32.71",KOTA BOGOR,KH Soleh Iskandar (Jalur Lambat),ROAD_CLOSED,"[106.80051600000002, -6.561997000000004]",60,2022-07-06
5930193,2022-07-06 06:00:00.000,"32.71",KOTA BOGOR,Tol Jagorawi,WEATHERHAZARD,"[106.8344539999999, -6.5902060000000064]",60,2022-07-06
5930194,2022-07-06 06:00:00.000,"32.71",KOTA BOGOR,,WEATHERHAZARD,"[106.80159300000008, -6.555780000000009]",60,2022-07-06
5930195,2022-07-06 07:00:00.000,"32.71",KOTA BOGOR,KH Soleh Iskandar (Jalur Lambat),ROAD_CLOSED,"[106.80051600000002, -6.561997000000004]",61,2022-07-06
5930196,2022-07-06 07:00:00.000,"32.71",KOTA BOGOR,Semplak Raya,WEATHERHAZARD,"[106.76048199999993, -6.543022000000003]",56,2022-07-06
