"id","time","kemendagri_kabupaten_kode","kemendagri_kabupaten_nama","street","type","avg_location","total_records","date"
5931835,2022-07-06 06:00:00.000,"32.77",KOTA CIMAHI,Tol Padaleunyi,ACCIDENT,"[107.544439, -6.922691999999999]",19,2022-07-06
5931836,2022-07-06 06:00:00.000,"32.77",KOTA CIMAHI,Tol Padaleunyi,JAM,"[107.54405199999998, -6.920444000000001]",6,2022-07-06
5931837,2022-07-06 07:00:00.000,"32.77",KOTA CIMAHI,Tol Padaleunyi,ACCIDENT,"[107.54443899999997, -6.922692]",51,2022-07-06
5931838,2022-07-06 07:00:00.000,"32.77",KOTA CIMAHI,Tol Padaleunyi,WEATHERHAZARD,"[107.53683499999993, -6.906789999999999]",39,2022-07-06
5931839,2022-07-06 08:00:00.000,"32.77",KOTA CIMAHI,Exit Cimahi/Pasteur/Lembang,JAM,"[107.531164, -6.898486]",22,2022-07-06
5931840,2022-07-06 08:00:00.000,"32.77",KOTA CIMAHI,Tol Padaleunyi,WEATHERHAZARD,"[107.53683499999991, -6.90679]",60,2022-07-06
5931842,2022-07-06 09:00:00.000,"32.77",KOTA CIMAHI,Gerbang Tol Pasteur 2,WEATHERHAZARD,"[107.57348399999992, -6.890330000000005]",47,2022-07-06
5931843,2022-07-06 09:00:00.000,"32.77",KOTA CIMAHI,Tol Padaleunyi,WEATHERHAZARD,"[107.53683499999993, -6.906789999999999]",42,2022-07-06
5931841,2022-07-06 09:00:00.000,"32.77",KOTA CIMAHI,Gerbang Tol Pasteur 2,JAM,"[107.57378615384617, -6.890423769230769]",13,2022-07-06
5931844,2022-07-06 10:00:00.000,"32.77",KOTA CIMAHI,Tol Padaleunyi,JAM,"[107.53813000000001, -6.9082110000000005]",6,2022-07-06
5931845,2022-07-06 10:00:00.000,"32.77",KOTA CIMAHI,Tol Padaleunyi,WEATHERHAZARD,"[107.53680157142867, -6.906746178571437]",56,2022-07-06
5931846,2022-07-06 11:00:00.000,"32.77",KOTA CIMAHI,Tol Padaleunyi,WEATHERHAZARD,"[107.53697300000015, -6.906961000000007]",60,2022-07-06
5931847,2022-07-06 12:00:00.000,"32.77",KOTA CIMAHI,Jenderal Gatot Subroto,JAM,"[107.537603, -6.887056]",1,2022-07-06
5931848,2022-07-06 12:00:00.000,"32.77",KOTA CIMAHI,N11 Jenderal Haji Amir Machmud,JAM,"[107.523601, -6.868491000000004]",29,2022-07-06
5931849,2022-07-06 12:00:00.000,"32.77",KOTA CIMAHI,Tol Padaleunyi,WEATHERHAZARD,"[107.53697300000002, -6.906961000000001]",10,2022-07-06
5931850,2022-07-06 13:00:00.000,"32.77",KOTA CIMAHI,Jenderal Gatot Subroto,JAM,"[107.53760300000008, -6.887056]",30,2022-07-06
5931851,2022-07-06 13:00:00.000,"32.77",KOTA CIMAHI,N11 Jenderal Haji Amir Machmud,JAM,"[107.52899233333333, -6.869707999999999]",3,2022-07-06
5931852,2022-07-06 14:00:00.000,"32.77",KOTA CIMAHI,Gerbang Tol Pasteur 2,JAM,"[107.57529300000003, -6.8906849999999995]",23,2022-07-06
5931853,2022-07-06 14:00:00.000,"32.77",KOTA CIMAHI,Jalan Lurah,JAM,"[107.54185400000003, -6.875128000000002]",21,2022-07-06
5931854,2022-07-06 14:00:00.000,"32.77",KOTA CIMAHI,N11 Jenderal Haji Amir Machmud,JAM,"[107.53977500000006, -6.8721419999999975]",31,2022-07-06
5931855,2022-07-06 15:00:00.000,"32.77",KOTA CIMAHI,Arah Padalarang/Purwakarta/Jakarta,JAM,"[107.53468500000004, -6.899776000000001]",21,2022-07-06
5931856,2022-07-06 15:00:00.000,"32.77",KOTA CIMAHI,Gerbang Tol Pasteur 2,JAM,"[107.575293, -6.890685]",3,2022-07-06
5931857,2022-07-06 15:00:00.000,"32.77",KOTA CIMAHI,Jalan Lurah,JAM,"[107.54185400000003, -6.875128000000002]",9,2022-07-06
5931858,2022-07-06 15:00:00.000,"32.77",KOTA CIMAHI,Tol Pasteur,JAM,"[107.53573500000002, -6.899600999999999]",7,2022-07-06
5931865,2022-07-06 16:00:00.000,"32.77",KOTA CIMAHI,Tol Pasteur,JAM,"[107.57612800000004, -6.890738999999997]",31,2022-07-06
5931859,2022-07-06 16:00:00.000,"32.77",KOTA CIMAHI,Arah Padalarang/Purwakarta/Jakarta,JAM,"[107.534625, -6.899786000000001]",11,2022-07-06
5931860,2022-07-06 16:00:00.000,"32.77",KOTA CIMAHI,Daeng Mohammad Ardiwinata,JAM,"[107.55350299999999, -6.872509999999999]",7,2022-07-06
5931861,2022-07-06 16:00:00.000,"32.77",KOTA CIMAHI,Gerbang Tol Pasteur 2,JAM,"[107.57423940425531, -6.890513276595745]",47,2022-07-06
5931862,2022-07-06 16:00:00.000,"32.77",KOTA CIMAHI,Jalan Serut,JAM,"[107.55734499999996, -6.874798999999999]",17,2022-07-06
5931863,2022-07-06 16:00:00.000,"32.77",KOTA CIMAHI,Mahar Martanegara,JAM,"[107.54830499999993, -6.900218999999995]",31,2022-07-06
5931864,2022-07-06 16:00:00.000,"32.77",KOTA CIMAHI,Tol Padaleunyi,WEATHERHAZARD,"[107.52099200000009, -6.886306999999995]",36,2022-07-06
