"id","time","kemendagri_kabupaten_kode","kemendagri_kabupaten_nama","street","type","avg_location","total_records","date"
5930859,2022-07-06 13:00:00.000,"32.74",KOTA CIREBON,KS Tubun,JAM,"[108.55824211904762, -6.71195930952381]",42,2022-07-06
5930860,2022-07-06 16:00:00.000,"32.74",KOTA CIREBON,Gudang,JAM,"[108.56118199999995, -6.721341999999996]",26,2022-07-06
5930861,2022-07-06 17:00:00.000,"32.74",KOTA CIREBON,Gudang,JAM,"[108.56118200000002, -6.721342]",6,2022-07-06
5935283,2022-07-07 10:00:00.000,"32.74",KOTA CIREBON,Tuparev,JAM,"[108.54877799999997, -6.711917]",27,2022-07-07
5935284,2022-07-07 11:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.55351500000005, -6.775373000000001]",22,2022-07-07
5935285,2022-07-07 11:00:00.000,"32.74",KOTA CIREBON,Tuparev,JAM,"[108.548778, -6.711917]",5,2022-07-07
5935286,2022-07-07 12:00:00.000,"32.74",KOTA CIREBON,Slamet Riyadi,JAM,"[108.55130099999998, -6.700747999999999]",7,2022-07-07
5935287,2022-07-07 12:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.55351500000003, -6.775373000000001]",9,2022-07-07
5935288,2022-07-07 14:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,JAM,"[108.55341980000003, -6.775365200000001]",15,2022-07-07
5935289,2022-07-07 15:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,JAM,"[108.5539157058823, -6.775392999999997]",34,2022-07-07
5935290,2022-07-07 15:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.55355139805829, -6.775360815533981]",103,2022-07-07
5935291,2022-07-07 16:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.55310140000016, -6.775329866666675]",60,2022-07-07
5935292,2022-07-07 17:00:00.000,"32.74",KOTA CIREBON,N14 Jenderal Ahmad Yani,JAM,"[108.56566300000003, -6.742227999999998]",16,2022-07-07
5935293,2022-07-07 17:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.55386400000016, -6.7753900000000025]",61,2022-07-07
5935294,2022-07-07 18:00:00.000,"32.74",KOTA CIREBON,N14 Jenderal Ahmad Yani,JAM,"[108.56566300000003, -6.742227999999998]",16,2022-07-07
5935295,2022-07-07 18:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,JAM,"[108.55416917391304, -6.775404086956519]",23,2022-07-07
5935296,2022-07-07 18:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.55386399999999, -6.7753899999999945]",36,2022-07-07
5935297,2022-07-07 19:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,JAM,"[108.55328, -6.775359]",10,2022-07-07
5940269,2022-07-08 10:00:00.000,"32.74",KOTA CIREBON,N14 Jenderal Sudirman,JAM,"[108.54498900000002, -6.742019000000001]",21,2022-07-08
5940270,2022-07-08 11:00:00.000,"32.74",KOTA CIREBON,N14 Jenderal Sudirman,JAM,"[108.53683440000005, -6.753641000000002]",30,2022-07-08
5940271,2022-07-08 12:00:00.000,"32.74",KOTA CIREBON,N14 Jenderal Sudirman,JAM,"[108.53139800000001, -6.7613889999999985]",13,2022-07-08
5940272,2022-07-08 13:00:00.000,"32.74",KOTA CIREBON,Kanoman,JAM,"[108.56755599999998, -6.720647]",7,2022-07-08
5940273,2022-07-08 13:00:00.000,"32.74",KOTA CIREBON,Kesambi,JAM,"[108.55931600000001, -6.726550999999999]",20,2022-07-08
5940274,2022-07-08 15:00:00.000,"32.74",KOTA CIREBON,N14 Jenderal Sudirman,JAM,"[108.54371599999997, -6.743881]",20,2022-07-08
5940275,2022-07-08 16:00:00.000,"32.74",KOTA CIREBON,N14 Jenderal Sudirman,JAM,"[108.54371599999999, -6.743881]",10,2022-07-08
5940276,2022-07-08 17:00:00.000,"32.74",KOTA CIREBON,Tentara Pelajar,JAM,"[108.55729900000004, -6.715919]",13,2022-07-08
5944726,2022-07-09 02:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.54365000000004, -6.7732739999999945]",33,2022-07-09
5944727,2022-07-09 03:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.54365000000003, -6.773274]",19,2022-07-09
5944728,2022-07-09 08:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.543948, -6.773373]",25,2022-07-09
5944729,2022-07-09 09:00:00.000,"32.74",KOTA CIREBON,N14 Jenderal Sudirman,JAM,"[108.543299, -6.744652]",4,2022-07-09
5944730,2022-07-09 09:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.543948, -6.773372999999999]",29,2022-07-09
5944731,2022-07-09 10:00:00.000,"32.74",KOTA CIREBON,Exit 203 : Ciperna/Cirebon/Kuningan,JAM,"[108.529126, -6.760370000000001]",6,2022-07-09
5944732,2022-07-09 10:00:00.000,"32.74",KOTA CIREBON,N14 Jenderal Sudirman,JAM,"[108.53863659999992, -6.751245599999995]",45,2022-07-09
5944733,2022-07-09 11:00:00.000,"32.74",KOTA CIREBON,N14 Jenderal Sudirman,JAM,"[108.53164300000002, -6.761135999999998]",13,2022-07-09
5944734,2022-07-09 19:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,JAM,"[108.544997, -6.773702]",2,2022-07-09
5944735,2022-07-09 20:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,JAM,"[108.544997, -6.773702]",4,2022-07-09
5952106,2022-07-11 14:00:00.000,"32.74",KOTA CIREBON,N14 Jenderal Sudirman,WEATHERHAZARD,"[108.53756299999996, -6.756127999999999]",30,2022-07-11
5952107,2022-07-11 16:00:00.000,"32.74",KOTA CIREBON,N14 Jenderal Sudirman,JAM,"[108.545159, -6.741892000000001]",14,2022-07-11
5952108,2022-07-11 17:00:00.000,"32.74",KOTA CIREBON,N14 Jenderal Sudirman,JAM,"[108.545159, -6.741892000000003]",18,2022-07-11
5956657,2022-07-12 11:00:00.000,"32.74",KOTA CIREBON,N14 Jenderal Sudirman,JAM,"[108.54567099999998, -6.741607000000001]",8,2022-07-12
5956658,2022-07-12 11:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.55253599999999, -6.775278]",14,2022-07-12
5956659,2022-07-12 12:00:00.000,"32.74",KOTA CIREBON,N14 Jenderal Sudirman,JAM,"[108.545671, -6.741606999999999]",23,2022-07-12
5956660,2022-07-12 12:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.55253600000009, -6.77527800000001]",60,2022-07-12
5956661,2022-07-12 13:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.55253600000009, -6.77527800000001]",60,2022-07-12
5956662,2022-07-12 14:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,JAM,"[108.55381800000002, -6.775388]",3,2022-07-12
5956663,2022-07-12 14:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.55253600000009, -6.77527800000001]",61,2022-07-12
5956664,2022-07-12 15:00:00.000,"32.74",KOTA CIREBON,Lawang Gada,JAM,"[108.56163999999993, -6.724970000000004]",29,2022-07-12
5956665,2022-07-12 15:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,JAM,"[108.55360690909093, -6.775377090909092]",11,2022-07-12
5956666,2022-07-12 15:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.55253600000009, -6.77527800000001]",59,2022-07-12
5956667,2022-07-12 16:00:00.000,"32.74",KOTA CIREBON,Lawang Gada,JAM,"[108.56164, -6.72497]",4,2022-07-12
5956668,2022-07-12 16:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,JAM,"[108.55378900000004, -6.775385999999998]",12,2022-07-12
5956669,2022-07-12 16:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.55253600000009, -6.77527800000001]",60,2022-07-12
5956670,2022-07-12 17:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.55253600000009, -6.77527800000001]",60,2022-07-12
5956671,2022-07-12 18:00:00.000,"32.74",KOTA CIREBON,Tol Palimanan-Kanci,WEATHERHAZARD,"[108.55253600000009, -6.77527800000001]",60,2022-07-12
5956672,2022-07-12 19:00:00.000,"32.74",KOTA CIREBON,Dokter Cipto Mangunkusumo,JAM,"[108.5508, -6.714774000000004]",30,2022-07-12
