"id","time","kemendagri_kabupaten_kode","kemendagri_kabupaten_nama","street","type","avg_location","total_records","date"
5930348,2022-07-06 13:00:00.000,"32.72",KOTA SUKABUMI,N11 Pembangunan,JAM,"[106.95859599999996, -6.921270999999996]",30,2022-07-06
5930349,2022-07-06 17:00:00.000,"32.72",KOTA SUKABUMI,RA Kosasih,JAM,"[106.93572799999997, -6.9230350000000005]",21,2022-07-06
5930350,2022-07-06 18:00:00.000,"32.72",KOTA SUKABUMI,RA Kosasih,JAM,"[106.93572800000001, -6.9230350000000005]",10,2022-07-06
5934828,2022-07-07 11:00:00.000,"32.72",KOTA SUKABUMI,Jenderal Ahmad Yani,JAM,"[106.93117100000005, -6.922603000000003]",31,2022-07-07
5934829,2022-07-07 12:00:00.000,"32.72",KOTA SUKABUMI,N11 Lingkar Selatan Sukabumi,JAM,"[106.94376600000001, -6.944445]",5,2022-07-07
5934830,2022-07-07 13:00:00.000,"32.72",KOTA SUKABUMI,N11 Lingkar Selatan Sukabumi,JAM,"[106.943766, -6.944445]",2,2022-07-07
5934831,2022-07-07 17:00:00.000,"32.72",KOTA SUKABUMI,RA Kosasih,WEATHERHAZARD,"[106.94143200000005, -6.922596999999997]",31,2022-07-07
5934832,2022-07-07 18:00:00.000,"32.72",KOTA SUKABUMI,RA Kosasih,WEATHERHAZARD,"[106.94143200000005, -6.922596999999997]",30,2022-07-07
5939656,2022-07-08 17:00:00.000,"32.72",KOTA SUKABUMI,RH Didi Sukardi,JAM,"[106.93243699999998, -6.931686999999999]",6,2022-07-08
5939658,2022-07-08 18:00:00.000,"32.72",KOTA SUKABUMI,RH Didi Sukardi,JAM,"[106.93243699999995, -6.931687]",25,2022-07-08
5939657,2022-07-08 18:00:00.000,"32.72",KOTA SUKABUMI,Pelabuhan 2,JAM,"[106.9064054568965, -6.95565557758621]",116,2022-07-08
5939659,2022-07-08 18:00:00.000,"32.72",KOTA SUKABUMI,,ACCIDENT,"[106.92653799999995, -6.932654999999998]",17,2022-07-08
5939660,2022-07-08 19:00:00.000,"32.72",KOTA SUKABUMI,Pelabuhan 2,JAM,"[106.9050422222222, -6.956950888888889]",18,2022-07-08
5939661,2022-07-08 19:00:00.000,"32.72",KOTA SUKABUMI,,ACCIDENT,"[106.926538, -6.932655000000005]",49,2022-07-08
5939662,2022-07-08 20:00:00.000,"32.72",KOTA SUKABUMI,N11 Pembangunan,JAM,"[106.95886800000002, -6.920547]",30,2022-07-08
5939663,2022-07-08 20:00:00.000,"32.72",KOTA SUKABUMI,,ACCIDENT,"[106.92653799999997, -6.932655000000006]",52,2022-07-08
5939664,2022-07-08 22:00:00.000,"32.72",KOTA SUKABUMI,KH Ahmad Sanusi,JAM,"[106.9049606666667, -6.9123813333333315]",12,2022-07-08
5939665,2022-07-08 22:00:00.000,"32.72",KOTA SUKABUMI,,ACCIDENT,"[106.94269200000005, -6.939492]",30,2022-07-08
5939666,2022-07-08 23:00:00.000,"32.72",KOTA SUKABUMI,KH Ahmad Sanusi,JAM,"[106.90510500000003, -6.912432999999997]",19,2022-07-08
5944270,2022-07-09 00:00:00.000,"32.72",KOTA SUKABUMI,Jalan Bhayangkara,JAM,"[106.91664300000001, -6.917306999999996]",26,2022-07-09
5944271,2022-07-09 01:00:00.000,"32.72",KOTA SUKABUMI,Jalan Bhayangkara,JAM,"[106.91664300000001, -6.917307]",6,2022-07-09
5944272,2022-07-09 11:00:00.000,"32.72",KOTA SUKABUMI,Koleberes,JAM,"[106.91894, -6.937389999999999]",11,2022-07-09
5944273,2022-07-09 12:00:00.000,"32.72",KOTA SUKABUMI,Koleberes,JAM,"[106.91894, -6.937389999999997]",16,2022-07-09
5944274,2022-07-09 17:00:00.000,"32.72",KOTA SUKABUMI,Jenderal Ahmad Yani,JAM,"[106.93088600000007, -6.922565999999998]",30,2022-07-09
5944275,2022-07-09 17:00:00.000,"32.72",KOTA SUKABUMI,N11 Pembangunan,JAM,"[106.958897, -6.919924000000003]",30,2022-07-09
5947855,2022-07-10 13:00:00.000,"32.72",KOTA SUKABUMI,KH Ahmad Sanusi,JAM,"[106.915534, -6.919063]",6,2022-07-10
5947856,2022-07-10 14:00:00.000,"32.72",KOTA SUKABUMI,KH Ahmad Sanusi,JAM,"[106.91553400000005, -6.919062999999996]",26,2022-07-10
5951745,2022-07-11 14:00:00.000,"32.72",KOTA SUKABUMI,N11 Pembangunan,JAM,"[106.95858700000005, -6.921288000000002]",29,2022-07-11
