"id","time","kemendagri_kabupaten_kode","kemendagri_kabupaten_nama","street","type","avg_location","total_records","date"
5931887,2022-07-06 09:00:00.000,"32.78",KOTA TASIKMALAYA,AH Nasution,JAM,"[108.19323500000003, -7.344113999999998]",27,2022-07-06
5931888,2022-07-06 10:00:00.000,"32.78",KOTA TASIKMALAYA,AH Nasution,JAM,"[108.19177700000004, -7.34496257142857]",35,2022-07-06
5931889,2022-07-06 10:00:00.000,"32.78",KOTA TASIKMALAYA,,JAM,"[108.26036800000006, -7.350693000000005]",29,2022-07-06
5931890,2022-07-06 15:00:00.000,"32.78",KOTA TASIKMALAYA,AH Nasution,WEATHERHAZARD,"[108.18760000000006, -7.346542999999998]",30,2022-07-06
5931891,2022-07-06 15:00:00.000,"32.78",KOTA TASIKMALAYA,Jalan Raya Indihiang,JAM,"[108.200403, -7.288264]",4,2022-07-06
5931892,2022-07-06 16:00:00.000,"32.78",KOTA TASIKMALAYA,AH Nasution,WEATHERHAZARD,"[108.18760000000013, -7.346542999999998]",59,2022-07-06
5931893,2022-07-06 16:00:00.000,"32.78",KOTA TASIKMALAYA,Jalan Raya Indihiang,JAM,"[108.200403, -7.288264000000001]",3,2022-07-06
5931894,2022-07-06 17:00:00.000,"32.78",KOTA TASIKMALAYA,AH Nasution,JAM,"[108.1936651290322, -7.343957096774195]",31,2022-07-06
5931895,2022-07-06 17:00:00.000,"32.78",KOTA TASIKMALAYA,AH Nasution,WEATHERHAZARD,"[108.18760000000013, -7.346542999999998]",60,2022-07-06
5931896,2022-07-06 17:00:00.000,"32.78",KOTA TASIKMALAYA,RE Martadinata,JAM,"[108.209077, -7.308652999999994]",29,2022-07-06
5931897,2022-07-06 18:00:00.000,"32.78",KOTA TASIKMALAYA,AH Nasution,JAM,"[108.19228984848479, -7.344709393939395]",33,2022-07-06
5931898,2022-07-06 18:00:00.000,"32.78",KOTA TASIKMALAYA,AH Nasution,WEATHERHAZARD,"[108.18760000000013, -7.346542999999998]",60,2022-07-06
5931899,2022-07-06 18:00:00.000,"32.78",KOTA TASIKMALAYA,Jalan Raya Tasikmalaya - Sukaraja,JAM,"[108.19273000000001, -7.431459]",21,2022-07-06
5931900,2022-07-06 19:00:00.000,"32.78",KOTA TASIKMALAYA,AH Nasution,WEATHERHAZARD,"[108.18760000000013, -7.346542999999998]",60,2022-07-06
5931901,2022-07-06 19:00:00.000,"32.78",KOTA TASIKMALAYA,Jalan Raya Tasikmalaya - Sukaraja,JAM,"[108.19273, -7.431459000000002]",9,2022-07-06
5931902,2022-07-06 20:00:00.000,"32.78",KOTA TASIKMALAYA,AH Nasution,WEATHERHAZARD,"[108.18760000000013, -7.346542999999998]",60,2022-07-06
5931903,2022-07-06 21:00:00.000,"32.78",KOTA TASIKMALAYA,AH Nasution,WEATHERHAZARD,"[108.18760000000013, -7.346542999999998]",60,2022-07-06
5931904,2022-07-06 21:00:00.000,"32.78",KOTA TASIKMALAYA,RE Martadinata,JAM,"[108.21723900000005, -7.316346000000004]",30,2022-07-06
5931905,2022-07-06 22:00:00.000,"32.78",KOTA TASIKMALAYA,AH Nasution,WEATHERHAZARD,"[108.18760000000012, -7.346542999999998]",55,2022-07-06
5931906,2022-07-06 23:00:00.000,"32.78",KOTA TASIKMALAYA,AH Nasution,WEATHERHAZARD,"[108.18760000000013, -7.346542999999998]",60,2022-07-06
5936257,2022-07-07 00:00:00.000,"32.78",KOTA TASIKMALAYA,AH Nasution,WEATHERHAZARD,"[108.18760000000013, -7.346542999999998]",60,2022-07-07
5936258,2022-07-07 01:00:00.000,"32.78",KOTA TASIKMALAYA,AH Nasution,WEATHERHAZARD,"[108.18760000000013, -7.346542999999998]",60,2022-07-07
